time_ms,mass_g
5342.0,14.152
5425.0,16.212
5508.0,18.496
5591.0,20.333
5673.0,22.303
5756.0,24.095
5839.0,25.572
5922.0,27.14
6004.0,28.887
6087.0,30.499
6170.0,31.126
6253.0,31.574
6336.0,32.156
6419.0,32.917
6502.0,34.171
6584.0,34.709
6667.0,35.604
6750.0,35.694
6833.0,35.963
6916.0,34.798
6999.0,34.082
7081.0,34.082
7164.0,34.216
7246.0,35.336
7329.0,34.753
7412.0,33.813
7495.0,29.11
7578.0,22.617
7661.0,15.227
7744.0,7.972
7826.0,3.359
7909.0,3.359
7992.0,3.986
8075.0,6.001
8158.0,9.898
8241.0,17.242
8324.0,20.78
8407.0,23.647
8488.0,24.587
8571.0,27.498
8654.0,29.872
8737.0,29.872
8820.0,26.065
8903.0,21.273
8986.0,19.168
9068.0,15.988
9151.0,15.988
9234.0,17.959
9317.0,20.512
9400.0,20.512
9483.0,20.87
9566.0,24.542
9649.0,43.934
9731.0,111.56
9814.0,279.102
9896.0,549.023
9979.0,884.376
10062.0,1254.124
10145.0,1615.586
10228.0,1941.847
10310.0,2246.612
10393.0,2528.401
10476.0,2789.275
10559.0,3058.883
10642.0,3335.746
10725.0,3608.802
10808.0,3886.113
10891.0,4172.65
10973.0,4507.062
11056.0,4899.202
11139.0,5327.529
11222.0,5771.173
11304.0,6180.421
11387.0,6535.166
11470.0,6834.735
11552.0,7096.236
11635.0,7339.914
11718.0,7593.309
11801.0,7852.437
11884.0,8075.692
11967.0,8313.816
12050.0,8536.264
12133.0,8671.83
12215.0,8763.684
12298.0,8832.967
12381.0,8927.017
12464.0,9067.732
12547.0,9029.127
12630.0,8996.434
12712.0,8661.842
12794.0,7908.956
12877.0,6787.128
12960.0,5620.649
13043.0,4530.753
13126.0,3576.423
13209.0,2747.177
13292.0,2092.281
13374.0,1637.755
13457.0,1335.14
13540.0,1142.116
13623.0,1002.788
13706.0,871.747
13789.0,747.736
13872.0,628.876
13955.0,512.658
14036.0,403.65
14119.0,315.692
14202.0,252.365
14285.0,211.029
14368.0,177.574
14451.0,143.089
14534.0,108.649
14616.0,79.897
14699.0,54.593
14782.0,34.574
14865.0,17.735
14948.0,3.18
15031.0,-0.313
15114.0,-0.672
15196.0,-0.896
15279.0,-0.896
15362.0,-1.657
15444.0,-2.821
15527.0,-3.493
15610.0,-3.493
